from,to,relation,year
mg,iq,3,2011
mg,ks,3,2011
mg,ms,3,2011
mg,xn,4,2011
mg,ren,5,2014
mg,bmg,5,2016
mg,mot,5,2014
mg,thek,2,2018
mg,mj,5,2021
mg,them,2,2019
mg,lot,5,2019
mg,ed,5,2016
mg,mr,5,2012
mg,ls,5,2012
mg,js,5,2016
mg,jk,5,2019
mg,sg,5,2013
mg,hf,5,2020
mg,al,5,2021
mg,tru,5,2022
mg,bea,5,2021
mg,qua,5,2022
ms,iq,3,2011
ms,ks,3,2011
ms,euro,1,2018
ms,rg,4,2011
ms,sze,2,2011
ms,bb,5,2013
ms,wei,5,2010
ms,ver,5,2012
ms,pol,5,2021
ms,you,5,2021
ms,hab,5,2023
ms,gira,5,2023
ms,mon,5,2023
ms,njm,5,2024
ms,ls,5,2012
ms,mr,5,2012
ms,nip,5,2019
ms,pps,5,2021
ms,ah,5,2021
ms,rm,5,2019
ms,df,5,2020
ms,aba,5,2021
ms,you,5,2021
ms,you,5,2021
ms,sg,5,2022
ms,tru,5,2022
mg,se,1,2011
ms,ng,5,2014
ms,kw,5,2016
ms,km,5,2018
ms,ml,5,2018
ms,ni,5,2018
ms,ts,5,2018
ms,pps,5,2019
ms,ah,5,2019
ms,bdd,5,2019
ms,df,5,2020
ms,idl,5,2020
ms,ia,5,2021
ms,jw,5,2022
ms,er,5,2023
ms,pr,5,2023
thb,se,2,2011
nen,se,2,2011
xn,se,2,2011
rg,se,2,2011
iq,ks,3,2011
iq,hol,5,2023
iq,euro,2,2021
iq,prom,5,2012
iq,germ,5,2012
iq,schl,5,2013
iq,prbb,5,2013
iq,escv,1,2018
iq,hss,5,2012
iq,vss,5,2012
iq,thed,5,2012
iq,thea,5,2017
iq,jwka,5,2017
iq,cjg,5,2017
iq,kp,5,2017
iq,john,5,2023
iq,pr,5,2017
iq,sdlt,5,2017
iq,sue,5,2023
iq,meg,5,2023
mg,jw,5,2022
mg,tru,5,2022
mg,mah,5,2018
mg,motr,5,2020
sek,guz,3,2021
sek,kam,3,2021
sek,le,3,2021
sek,fcg,3,2021
sek,jo,4,2021
sek,sel,1,2021
sek,is,5,2022
sek,pl,5,2022
sek,gc,5,2022
sek,lp,5,2022
sek,ub,5,2022
sek,kr,5,2022
sek,wmg,5,2022
sek,rj,5,2022
guz,ns,4,2021
guz,dkdl,1,2024
guz,sel,1,2021
kam,sc,4,2021
kam,sel,1,2021
le,sel,1,2021
le,ed,4,2021
le,phr,5,2024
le,too,5,2023
fcg,sel,1,2021
fcg,mf,4,2021
ao,jp,3,2022
ao,tf,3,2022
ao,bs,3,2022
ao,szw,1,2022
ao,mf,4,2022
jp,szw,1,2022
jp,imc,5,2023
jp,trg,5,2023
jp,seh,5,2023
jp,pm,4,2022
tf,szw,1,2022
tf,rg,4,2022
bs,szw,1,2022
bs,sk,4,2022
bs,music,5,2023
bs,song,5,2024
bs,kjm,5,2024
sr,sa,1,2018
sr,bed,3,2018
sr,jes,3,2018
sr,ea,3,2018
sr,mpk,4,2018
sr,uni,5,2019
sr,mdru,5,2022
sr,cl,5,2019
sr,beb,5,2021
sr,fis,5,2021
sr,ph,5,2021
sr,obr,5,2021
sr,bebb,5,2022
sr,ll,5,2023
sr,mis,5,2023
bed,sa,1,2018
bed,jes,3,2018
bed,ea,3,2018
bed,yc,4,2018
bed,uni,5,2020
bed,euro,5,2020
bed,free,1,2021
bed,air,5,2020
bed,buc,5,2021
bed,bo,5,2020
bed,dh,5,2022
bed,fs,5,2022
jes,ea,3,2018
jes,mf,4,2018
jes,sa,1,2018
jes,monr,5,2019
jes,zdfm,5,2019
ea,sa,1,2018
ea,fv,4,2018
ea,escv,1,2022
ea,km,5,2021
ea,rj,5,2020
ea,tem,5,2022
ce,am,4,2019
ce,ek,3,2019
ce,lr,3,2019
ce,fis,3,2019
ce,fa,3,2019
ce,sn,1,2019
ce,beb,5,2023
ek,sn,1,2019
ek,rg,4,2019
ek,lr,3,2019
ek,fis,3,2019
ek,fa,3,2019
ek,luke,1,2019
ek,escv,1,2021
ek,imc,5,2020
ek,foc,5,2021
ek,enf,5,2022
ek,rec,5,2023
ek,ia,5,2020
ek,lh,5,2021
ek,che,5,2021
ek,ems,5,2021
ek,gel,5,2022
ek,alz,5,2024
lr,sn,1,2019
lr,ns,4,2019
lr,fis,3,2019
lr,fa,3,2019
lr,son,5,2021
lr,die,5,2021
fis,sn,1,2019
fis,mf,4,2019
fis,fa,3,2019
fis,cher,5,2020
fis,dg,5,2020
fis,esg,5,2020
fis,cl,5,2021
fis,sr,5,2021
fis,jub,5,2022
fis,dn,5,2022
fis,fk,5,2022
fa,sn,1,2019
fa,sid,4,2019
fa,sky,5,2021
nh,iss,3,2012
nh,mil,3,2012
nh,jb,3,2012
nh,sat,5,2013
nh,ctm,5,2013
nh,kob,5,2013
nh,tog,5,2013
nh,res,5,2014
nh,fer,5,2016
nh,scv,5,2020
nh,too,5,2021
nh,rp,5,2021
nh,js,5,2023
nh,jk,5,2023
nh,ene,5,2023
nh,sz,1,2012
iss,sz,1,2012
mil,sz,1,2012
jb,sz,1,2012
mlk,bbm,5,2024
mlk,sdr,1,2023
mlk,btk,4,2023
dsa,gz,4,2023
dsa,sdr,1,2023
dsa,mlk,3,2023
dsa,egh,3,2023
dsa,joe,3,2023
dsa,em,3,2023
egh,anl ,5,2023
egh,ror,5,2023
egh,sdr,1,2023
egh,rk,4,2023
joe,nm,5,2024
joe,sdr,1,2023
joe,shd,4,2023
joe,jod,5,2023
em,sdr,1,2023
em,rk,4,2023
em,nos,5,2023
pc,shrg,4,2020
pc,sze,1,2020
pc,oh,3,2020
pc,maj,3,2020
pc,ap,3,2020
pc,tu,3,2020
pc,pol,5,2023
pc,bud,5,2023
pc,kw,5,2023
pc,ml,5,2023
pc,uni,5,2020
oh,sze,1,2020
oh,skyc,4,2020
oh,maj,3,2020
oh,ab,3,2020
oh,tu,3,2020
maj,sze,1,2020
maj,ns,4,2020
maj,ap,3,2020
maj,tu,3,2020
maj,goo,5,2021
maj,arm,5,2022
maj,fl,5,2022
maj,mans,5,2022
maj,grs,5,2022
maj,glo,5,2022
maj,sq,5,2022
maj,neu,5,2023
maj,pee,5,2023
maj,son,5,2023
maj,jah,5,2023
iss,mil,3,2012
iss,jb,3,2012
iss,gira,5,2013
iss,rj,5,2016
mil,jb,3,2012
mil,gre,5,2015
mil,kni,5,2018
mil,div,5,2018
ankü,cs,3,2013
ankü,jvh,3,2013
ankü,des,3,2013
ankü,escv,1,2015
ankü,jk,5,2018
ankü,js,5,2018
ankü,vom,5,2019
ankü,chh,5,2023
ankü,dra,5,2023
ankü,men,5,2023
ankü,sd,1,2013
cs,sd,1,2013
jvh,sd,1,2013
des,sd,1,2013
cs,jvh,3,2013
cs,des,3,2013
cs,comi,5,2014
cs,pop,5,2014
cs,maga,5,2014
cs,pp,5,2014
cs,uls,5,2014
jvh,des,3,2013
jvh,con,5,2013
jvh,stc,5,2013
jvh,bmg,5,2021
jvh,monra,5,2021
jvh,music,5,2022
des,thek,5,2017
des,frt,5,2019
des,lat,5,2019
rg,nh,4,2012
nen,iss,4,2012
xn,mil,4,2012
thb,jb,4,2012
mah,ankü,4,2013
sh,cs,4,2013
sh,jvh,4,2013
thb,des,4,2013
rg,sz,2,2012
nen,sz,2,2012
xn,sz,2,2012
thb,sz,2,2012
ankü,sd,1,2013
cs,sd,1,2013
jvh,sd,1,2013
des,sd,1,2013
mah,sd,2,2013
sh,sd,2,2013
thb,sd,2,2013
cas,sv,1,2014
lia,sv,1,2014
av,sv,1,2014
maca,sv,1,2014
cas,fv,4,2014
lia,rg,4,2014
av,sh,4,2014
maca,sk,4,2014
fv,sv,2,2014
rg,sv,2,2014
sh,sv,2,2014
sk,sv,2,2014
cas,fuck,5,2016
cas,nico,5,2017
cas,bett,5,2018
cas,spez,5,2018
cas,fami,5,2019
cas,soko,5,2020
cas,lia,3,2014
cas,av,3,2014
cas,maca,3,2014
lia,reco,5,2019
lia,av,3,2014
lia,maca,3,2014
av,maca,3,2014
av,domi,5,2015
av,sono,5,2016
maca,thir,5,2019
jlk,sf,1,2015
ayw,sf,1,2015
tik,sf,1,2015
im,sf,1,2015
fv,sf,2,2015
ab,sf,2,2015
sk,sf,2,2015
jlk,ayw,3,2015
jlk,tik,3,2015
jlk,im,3,2015
ayw,tik,3,2015
ayw,im,3,2015
tik,im,3,2015
jlk,fv,4,2015
ayw,ab,4,2015
tik,ab,4,2015
im,sk,4,2015
jlk,uni,5,2016
jlk,euro,1,2016
jlk,ror,5,2022
ayw,allt,1,2022
tik,sou,5,2016
tas,ss,1,2016
rore,ss,1,2016
maa,ss,1,2016
bas,ss,1,2016
sh,ss,2,2016
yc,ss,2,2016
fv,ss,2,2016
ab,ss,2,2016
tas,rore,3,2016
tas,maa,3,2016
tas,bas,3,2016
rore,maa,3,2016
rore,bas,3,2016
maa,bas,3,2016
sh,rore,4,2016
yc,bas,4,2016
fv,maa,4,2016
ab,tas,4,2016
tas,uni,5,2016
rore,wmg,5,2016
maa,jaz,5,2016
bas,eas,5,2023
bas,ret,5,2019
rore,mr,5,2018
rore,ts,5,2018
rore,bri,5,2018
bas,phs,5,2019
bas,rj,5,2020
bas,lgr,5,2023
ap,sze,1,2020
ap,ms,4,2020
ap,tu,3,2020
ap,rj,5,2021
ap,jaz,5,2023
ap,sil,5,2023
ap,thevo,5,2022
ap,maxg,5,2023
ks,se,1,2011
ks,nen,4,2011
ks,nen,5,2012
ks,migm,5,2015
ks,mab,5,2017
ks,csr,5,2023
ks,mab,5,2023
ks,chh,5,2023
ks,tin,5,2023
jo,sel,2,2021
ns,sel,2,2021
sc,sel,2,2021
ed,sel,2,2021
mf,sel,2,2021
mf,szw,2,2022
pm,szw,2,2022
rg,szw,2,2022
sk,szw,2,2022
btk,sdr,2,2023
gz,sdr,2,2023
rk,sdr,2,2023
shd,sdr,2,2023
tu,sze,1,2020
tu,mf,4,2020
mpk,sa,2,2018
yc,sa,2,2018
mf,sa,2,2018
fv,sa,2,2018
am,sn,2,2019
rg,sn,2,2019
ns,sn,2,2019
mf,sn,2,2019
sid,sn,2,2019
shrg,sze,2,2020
skyc,sze,2,2020
ns,sze,2,2020
ms,sze,2,2020
mf,sze,2,2020
nt,ssi,1,2017
bk,ssi,1,2017
anhe,ssi,1,2017
bbt,ssi,1,2017
sh,ssi,2,2017
yc,ssi,2,2017
fv,ssi,2,2017
mf,ssi,2,2017
nt,bk,3,2017
nt,anhe,3,2017
nt,bbt,3,2017
bk,anhe,3,2017
bk,bbt,3,2017
anhe,bbt,3,2017
sh,nt,4,2017
yc,bbt,4,2017
fv,anhe,4,2017
mf,bk,4,2017
anhe,star,1,2021
nt,uni,5,2018
nt,rj,5,2019
nt,escv,1,2018
nt,geor,2,2019
nt,maga,5,2018
nt,mr,5,2018
nt,bri,5,2018
nt,ribe,5,2018
nt,anka,5,2022
nt,moa,5,2023
nt,tij,5,2023
bbt,thev,1,2020
bbt,unse,1,2019
bbt,doit,5,2019
bbt,brow,5,2021
bbt,gold,5,2021
bbt,noxe,5,2021
bbt,musi,5,2021
bbt,ribe,5,2019
bbt,rab ,5,2021
bbt,jet,5,2022
bbt,jcw,5,2024
bbt,mok,5,2024
mg,kls,5,2012
ms,kls,5,2012
iq,luc,5,2023
ms,se,1,2011
iq,se,1,2011
