id,name,type,role,sex,Showkategorie,Charts,Platz,Spotify,Instagram 
ms,Michael Schulte,1,1,2,99,4,3,6032842,126000
mg,Max Giesinger,1,1,2,99,4,4,1168571,489000
mil,Michael Lane ,1,1,2,99,2,3,37921,2183
ankü,Andreas Kümmert,1,1,2,99,3,1,45930,11100
fa,Freschta Akbarzada,1,1,1,99,2,5,43914,6238
iq,Ivy Quainoo,1,1,1,99,3,1,22940,11300
pc,Paula Dalla Corte,1,1,1,99,2,1,57673,54700
maca,Marion Campbell,1,1,1,99,2,4,96,1
bed,Ben Dolic,1,1,2,99,1,2,38808,17000
jvh,Judith van Hel,1,1,1,99,2,3,421,7072
nh,Nick Howard ,1,1,2,99,2,1,34062,13500
ek,Erwin Kintop,1,1,2,99,1,2,34164,13200
jlk,jamie-lee kriewitz,1,1,1,99,2,1,27912,46300
tas,Tay Schmedtmann,1,1,2,99,2,1,14056,11000
jb,James Borges ,1,1,2,99,2,4,76,1
cas,Charley Ann Schmutzler,1,1,1,99,2,1,1303,497
des,Debbie Schippers,1,1,1,99,2,4,58,7585
mlk,Malou Lovis Kreyelkamp,1,1,1,99,1,1,110665,23800
le,Linda Elys,1,1,1,99,1,4,110288,3809
sek,Sebastian Krenz,1,1,2,99,1,1,34557,41600
av,Andrei Vesa,1,1,2,99,2,3,166,66
ao,Anny Ogrezeanu,1,1,1,99,1,1,25815,9427
fis,Fidi Steinbeck,1,1,1,99,1,4,25820,9937
dsa,Desirey Sarpong Agyemang,1,1,1,99,1,2,12120,4390
sr,Samuel Rösch,1,1,2,99,1,1,18327,12600
maj,Mael und Jonas,1,1,2,99,1,3,212205,43800
jp,Julian Pförtner,1,1,2,99,1,2,8667,18700
nt,Natia Todua,1,1,1,99,1,1,10273,24900
bbt,BB Thomaz,1,1,1,99,1,4,25325,19500
guz,Gugu Zulu,1,1,1,99,1,2,6175,21300
ks,Kim Sanders,1,1,1,99,4,2,5685,2297
egh,Egon Herrnleben,1,1,2,99,1,3,17997,4413
ea,Eros Atomus Isler ,1,1,2,99,1,4,22903,9923
joe,Joy Esquivias,1,1,1,99,1,4,12844,5411
kam,Katarina Mihaljevic,1,1,1,99,1,3,8687,7094
ap,Alessandro Pola,1,1,2,99,1,4,6199,13900
iss,Isabell Schmidt,1,1,1,99,2,2,2055,1159
bas,Boris Alexander Stein Bobby Lies,1,1,2,99,1,4,3333,26100
ayw,Ayke Witt ,1,1,2,99,2,2,1635,2796
ce,Claudia Emmanuela Santoso,1,1,1,99,1,1,6403,179000
tu,Tosari Udayana,1,1,2,99,1,5,2384,12400
