from,to,relation
mg,iq,3
mg,ks,3
mg,ms,3
mg,xn,4
mg,rar,5
mg,bmg,5
mg,mm,5
mg,tvk,2
mg,mj,5
mg,tms,2
mg,le,5
mg,ed,5
mg,mh,5
mg,rr,5
mg,mgr,5
mg,mr,5
mg,to,5
mg,ls,5
mg,dj,5
mg,cp,5
mg,js,5
mg,jk,5
mg,sg,5
mg,hf,5
mg,al,5
mg,tr,5
mg,btg,5
mg,ma,5
mg,qua,5
ms,iq,3
ms,ks,3
ms,esc,1
ms,rg,4
ms,sze,2
ms,bb,5
ms,wm,5
ms,vur,5
ms,po,5
ms,ynu,5
ms,hab,5
ms,ga,5
ms,mo,5
ms,njm,5
ms,ls,5
ms,mr,5
ms,ac,5
ms,np,5
ms,nr,5
ms,npo,5
ms,pps,5
ms,ah,5
ms,rm,5
ms,df,5
ms,az,5
ms,xp,5
ms,tb,5
ms,gs,5
ms,lm,5
ms,sg,5
ms,tr,5
ms,mge,5
mg,se,1
ms,se,1
thb,se,2
nn,se,2
xn,se,2
rg,se,2
