id,name,type,sex,staffel,showkategorie,charts,Platz,Kandidat*innen,Plattenlabels,Shows,Coach,"Andere Personen (Producer, Duetts, Features)",Staffel
mg,Max Giesinger,1,2,1,NA,4,4,,,,,,
iq,Ivy Quainoo,1,1,1,NA,3,1,,,,,,
ks,Kim Sanders,1,1,1,NA,4,2,,,,,,
ms,Michael Schulte,1,2,1,NA,4,3,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
mm,Motor Music ,2,NA,NA,NA,NA,NA,,,,,,
rar,Rent a Record Company,2,NA,NA,NA,NA,NA,,,,,,
vur,Very Us Records ,2,NA,NA,NA,NA,NA,,,,,,
po,Polydor ,2,NA,NA,NA,NA,NA,,,,,,
wm,Weinstein Media,2,NA,NA,NA,NA,NA,,,,,,
bmg,BMG,2,NA,NA,NA,NA,NA,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
tvk,The Voice Kids,3,NA,NA,1,NA,NA,,,,,,
tvg,The Voice of Germany,3,NA,NA,1,NA,NA,,,,,,
ga,Giraffenaffen ,3,NA,NA,1,NA,NA,,,,,,
esc,Eurovision Song Contest,3,NA,NA,1,NA,NA,,,,,,
tms,The Masked Singer,3,NA,NA,1,NA,NA,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
thb,TheBossHoss,4,2,NA,NA,NA,NA,,,,,,
nn,Nena,4,1,NA,NA,NA,NA,,,,,,
xn,Xavier Nadioo,4,2,NA,NA,NA,NA,,,,,,
mah,Max Herre,4,2,NA,NA,NA,NA,,,,,,
sh,Samu Haber,4,2,NA,NA,NA,NA,,,,,,
fv,FantaVier ,4,2,NA,NA,NA,NA,,,,,,
sk,Stefanie Kloß,4,1,NA,NA,NA,NA,,,,,,
ab,Andreas Bourani ,4,2,NA,NA,NA,NA,,,,,,
yc,Yvonne Catterfeld,4,1,NA,NA,NA,NA,,,,,,
mf,Mark Forster,4,2,NA,NA,NA,NA,,,,,,
mpk,Michael Patrick Kelly,4,2,NA,NA,NA,NA,,,,,,
ns,Nico Santos,4,2,NA,NA,NA,NA,,,,,,
skyc,Stefanie Kloß und Yvonne Catterfeld,4,1,NA,NA,NA,NA,,,,,,
shrg,Samu Haber und Rea Garvey,4,2,NA,NA,NA,NA,,,,,,
jo,Johannes Oerding ,4,2,NA,NA,NA,NA,,,,,,
sc,Sarah Connor,4,1,NA,NA,NA,NA,,,,,,
pm,Peter Maffay ,4,2,NA,NA,NA,NA,,,,,,
gz,Giovanni Zarella,4,2,NA,NA,NA,NA,,,,,,
btk,Bill und Tom Kaulitz,4,2,NA,NA,NA,NA,,,,,,
sda,Shirin David,4,1,NA,NA,NA,NA,,,,,,
rk,Ronan Keating ,4,2,NA,NA,NA,NA,,,,,,
kos,Kool Savas ,4,2,NA,NA,NA,NA,,,,,,
rg,Rea Garvey ,4,2,NA,NA,NA,NA,,,,,,
ed,Elif Demirezer ,4,1,NA,NA,NA,NA,,,,,,
am,Alice Merton,4,1,NA,NA,NA,NA,,,,,,
si,Sido,4,2,NA,NA,NA,NA,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
mj,Madeline Juno ,1,1,NA,NA ,NA,NA,,,,,,
le,Lotte,1,1,NA,NA ,NA,NA,,,,,,
rr,Ruben Rodriguez,1,2,NA,NA,NA,NA,,,,,,
mr,Mathias Ramson,1,2,NA,NA,NA,NA,,,,,,
to,Tino Oac,1,2,NA,NA,NA,NA,,,,,,
ls,Lillo Scrimali,1,2,NA,NA,NA,NA,,,,,,
dj,David Jürgens,1,2,NA,NA,NA,NA,,,,,,
js,Jens Schneider,1,2,NA,NA,NA,NA,,,,,,
bb,Boygroup Blue,1,2,NA,NA,NA,NA,,,,,,
jk,Jules Kalmbacher,1,1,NA,NA,NA,NA,,,,,,
sg,Steffen Graef,1,2,NA,NA,NA,NA,,,,,,
ynu,YouNotUS,1,2,NA,NA,NA,NA,,,,,,
hab,R3hab,1,2,NA,NA,NA,NA,,,,,,
mo,Montez,1,2,NA,NA,NA,NA,,,,,,
njm,Norma Jean Martine,1,1,NA,NA,NA,NA,,,,,,
mh,Micheal Herberger,1,2,NA,NA,NA,NA,,,,,,
mgr,Mathias Grosch,1,2,NA,NA,NA,NA,,,,,,
cp,Christoph Papendieck,1,2,NA,NA,NA,NA,,,,,,
hf,Helene Fischer ,1,1,NA,NA,NA,NA,,,,,,
kls,Klaus Sahm ,1,2,NA,NA,NA,NA,,,,,,
al,Alex Lys ,1,2,NA,NA,NA,NA,,,,,,
tr,Truva,1,2,NA,NA,NA,NA,,,,,,
btg,Beatgees,1,2,NA,NA,NA,NA,,,,,,
ma,Mia Aergerter,1,1,NA,NA,NA,NA,,,,,,
qua,Quarterhead,1,2,NA,NA,NA,NA,,,,,,
ac,Andy Chatterley,1,2,NA,NA,NA,NA,,,,,,
np,Nerina Pallot ,1,1,NA,NA,NA,NA,,,,,,
nr,Nicolas Rebscher ,1,2,NA,NA,NA,NA,,,,,,
npo,Nicolai Potthoff,1,2,NA,NA,NA,NA,,,,,,
pps,Patrick Pyke Salmy,1,2,NA,NA,NA,NA,,,,,,
ah,Andreas Herbig,1,2,NA,NA,NA,NA,,,,,,
rm,Ricardo Munoz ,1,2,NA,NA,NA,NA,,,,,,
df,Daniel Flamm ,1,2,NA,NA,NA,NA,,,,,,
az,Abaz,1,2,NA,NA,NA,NA,,,,,,
xp,X-Plosive ,1,2,NA,NA,NA,NA,,,,,,
tb,Tobias Bodgon ,1,2,NA,NA,NA,NA,,,,,,
gs,Gregor Sahm,1,2,NA,NA,NA,NA,,,,,,
lm,Leon Milla,1,2,NA,NA,NA,NA,,,,,,
mge,Micheal Geldreich,1,2,NA,NA,NA,NA,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
se,Staffel 1,6,NA,NA,NA,NA,NA,,,,,,
sz,Staffel 2,6,NA,NA,NA,NA,NA,,,,,,
sd,Staffel 3,6,NA,NA,NA,NA,NA,,,,,,
sv,Staffel 4,6,NA,NA,NA,NA,NA,,,,,,
sf,Staffel 5,6,NA,NA,NA,NA,NA,,,,,,
ss,Staffel 6,6,NA,NA,NA,NA,NA,,,,,,
ssi,Staffel 7,6,NA,NA,NA,NA,NA,,,,,,
sa,Staffel 8,6,NA,NA,NA,NA,NA,,,,,,
sn,Staffel 9,6,NA,NA,NA,NA,NA,,,,,,
sze,Staffel 10,6,NA,NA,NA,NA,NA,,,,,,
sel,Staffel 11,6,NA,NA,NA,NA,NA,,,,,,
szw,Staffel 12,6,NA,NA,NA,NA,NA,,,,,,
sdr,Staffel 13,6,NA,NA,NA,NA,NA,,,,,,
