id,name,type,role,sex,Showkategorie,Charts,Platz,Spotify,Instagram
mg,Max Giesinger,1,1,2,NA,4,4,1168571,489000
iq,Ivy Quainoo,1,1,1,NA,3,1,22940,11300
ks,Kim Sanders,1,1,1,NA,4,2,5685,2297
ms,Michael Schulte,1,1,2,NA,4,3,6032842,126000
sr,Samuel Rösch,1,1,2,NA,1,1,18327,12600
bed,Ben Dolic,1,1,2,NA,1,2,38808,17000
jes,Jessica Schaffler,1,1,1,NA,1,3,991,5374
ea,Eros Atomus Isler ,1,1,2,NA,1,4,22903,9923
sek,Sebastian Krenz,1,1,2,NA,1,1,34557,41600
guz,Gugu Zulu,1,1,1,NA,1,2,6175,21300
kam,Katarina Mihaljevic,1,1,1,NA,1,3,8687,7094
le,Linda Elys,1,1,1,NA,1,4,110288,3809
fcg,Florian & Charlene Gallant        ,1,1,3,NA,1,5,1822,22500
ao,Anny Ogrezeanu,1,1,1,NA,1,1,25815,9427
jp,Julian Pförtner,1,1,2,NA,1,2,8667,18700
tf,Tammo Förster,1,1,2,NA,1,3,-1,6613
bs,Basti Schmidt,1,1,2,NA,1,4,1298,8464
ce,Claudia Emmanuela Santoso ,1,1,1,NA,1,1,6403,179000
ek,Erwin Kintop,1,1,2,NA,1,2,34164,13200
lr,Lucas Rieger,1,1,2,NA,1,3,2354,7893
fis,Fidi Steinbeck,1,1,1,NA,1,4,25820,9937
fa,Freschta Akbarzada,1,1,1,NA,2,5,43914,6238
pc,Paula Dalla Corte,1,1,1,NA,2,1,57673,54700
oh,Oliver Henrich,1,1,2,NA,1,2,1276,15000
maj,Mael und Jonas,1,1,2,NA,1,3,212205,43800
ap,Alessandro Pola,1,1,2,NA,1,4,6199,13900
tu,Tosari Udayana,1,1,2,NA,1,5,2384,12400
mlk,Malou Lovis Kreyelkamp,1,1,1,NA,1,1,110665,23800
dsa,Desirey Sarpong Agyemang,1,1,1,NA,1,2,12120,4390
egh,Egon Herrnleben,1,1,2,NA,1,3,17997,4413
joe,Joy Esquivias,1,1,1,NA,1,4,12844,5411
em,Emely Myles ,1,1,1,NA,1,5,2331,24000
nh,Nick Howard ,1,1,2,NA,2,1,34062,13500
iss,Isabell Schmidt ,1,1,1,NA,2,2,2055,1159
mil,Michael Lane ,1,1,2,NA,2,3,37921,2183
jb,James Borges ,1,1,2,NA,2,4,76,NA
jlk,jamie-lee kriewitz,1,1,1,NA,2,1,27912,46300
ayw,Ayke Witt ,1,1,2,NA,2,2,1635,2796
tik,Tiffany Kemp,1,1,1,NA,1,3,46,743
im,Isabel Ment ,1,1,1,NA,1,4,124,3601
tas,Tay Schmedtmann,1,1,2,NA,2,1,14056,11000
rore,Robin Resch,1,1,2,NA,1,2,632,4912
maa,Marc Amacher ,1,1,2,NA,1,3,4494,6286
bas,Boris Alexander Stein Bobby Lies,1,1,2,NA,1,4,3333,26100
ankü,Andreas Kümmert,1,1,2,NA,3,1,45930,11100
cs,Chris Schummert,1,1,2,NA,2,2,1137,1122
jvh,Judith van Hel,1,1,1,NA,2,3,421,7072
des,Debbie Schippers,1,1,1,NA,2,4,58,7585
cas,Charley Ann Schmutzler,1,1,1,NA,2,1,1303,497
lia,Linda Arndt,1,1,1,NA,1,2,513,NA
av,Andrei Vesa,1,1,2,NA,2,3,166,66
maca,Marion Campbell,1,1,1,NA,2,4,96,NA
nt,Natia Todua,1,1,1,NA,1,1,10273,24900
bk,Benedikt Köstler ,1,1,2,NA,1,2,-1,22400
anhe,Anna Heimrath ,1,1,1,NA,1,3,-1,716
bbt,BB Thomaz,1,1,1,NA,1,4,25325,19500
mot,Motor Music ,2,2,-1,NA,NA,NA,-1,1431
ren,Rent a Record Company,2,2,-1,NA,NA,NA,-1,NA
ver,Very Us Records ,2,2,-1,NA,NA,NA,-1,NA
pol,Polydor ,2,2,-1,NA,NA,NA,-1,92900
wei,Weinstein Media,2,2,-1,NA,NA,NA,-1,NA
bmg,BMG,2,2,-1,NA,NA,NA,-1,100
hol,Hollywood Record,2,2,-1,NA,NA,NA,-1,267000
uni,Universal Music Group,2,2,-1,NA,NA,NA,-1,957000
phr,PHONAG RECORDS,2,2,-1,NA,NA,NA,-1,1108
air,Airforce1,2,2,-1,NA,NA,NA,-1,1833
buc,Bucks Music Group,2,2,-1,NA,NA,NA,-1,8071
monr,Monopol Record,2,2,-1,NA,NA,NA,-1,NA
imc,igroove.music ,2,2,-1,NA,NA,NA,-1,12700
trg,ttc-records gbr,2,2,-1,NA,NA,NA,-1,NA
wmg,WM Germany,2,2,-1,NA,NA,NA,-1,48100
rj,recordJet,2,2,-1,NA,NA,NA,-1,5884
lgr,Love Gang Records,2,2,-1,NA,NA,NA,-1,576
music,MusicHub,2,2,-1,NA,NA,NA,-1,1423
song,Songborn,2,2,-1,NA,NA,NA,-1,NA
foc,focusonsound records,2,2,-1,NA,NA,NA,-1,NA
enf,Enforce Records,2,2,-1,NA,NA,NA,-1,122000
rec,4912987 Records DK2,2,2,-1,NA,NA,NA,-1,NA
son,Sony Music,2,2,-1,NA,NA,NA,-1,51500
die,DIEgital record,2,2,-1,NA,NA,NA,-1,NA
cher,CHE!Records,2,2,-1,NA,NA,NA,-1,NA
sky,skytonemusic,2,2,-1,NA,NA,NA,-1,NA
bbm,BAM BAM MUSIC,2,2,-1,NA,NA,NA,-1,NA
nm,Nachklang Music,2,2,-1,NA,NA,NA,-1,33800
bud,Budde Music Publishing,2,2,-1,NA,NA,NA,-1,6332
goo,Good Luck Kid,2,2,-1,NA,NA,NA,-1,1179
grs,GRS Music,2,2,-1,NA,NA,NA,-1,NA
glo,Global Rockstar GmbH,2,2,-1,NA,NA,NA,-1,5430
neu,Neubau Music Publishing,2,2,-1,NA,NA,NA,-1,3463
pee,peermusic,2,2,-1,NA,NA,NA,-1,10600
sou,Sound Village ,2,2,-1,NA,NA,NA,-1,2619
eas,Easthaven Records,2,2,-1,NA,NA,NA,-1,927
ret,Retrofuturemusic,2,2,-1,NA,NA,NA,-1,2221
sat,Satellite Music LLC,2,2,-1,NA,NA,NA,-1,NA
ctm,CTM Publishing ,2,2,-1,NA,NA,NA,-1,NA
kob,Kobalt Music Publishing ,2,2,-1,NA,NA,NA,-1,52300
res,Reservoir Media Music ,2,2,-1,NA,NA,NA,-1,NA
fer,Ferryhouse Productions ,2,2,-1,NA,NA,NA,-1,NA
ene,Energie/WM Germany ,2,2,-1,NA,NA,NA,-1,NA
gre,Greywood Records,2,2,-1,NA,NA,NA,-1,2895
kni,Knightvision,2,2,-1,NA,NA,NA,-1,912
vom,Vomit Records,2,2,-1,NA,NA,NA,-1,698
dra,Drakkar Entertainment,2,2,-1,NA,NA,NA,-1,1023
men,Menges Music,2,2,-1,NA,NA,NA,-1,NA
jaz,Jazzhaus Records,2,2,-1,NA,NA,NA,-1,1128
migm,MiG Music,2,2,-1,NA,NA,NA,-1,NA
csr,Chimera State Records,2,2,-1,NA,NA,NA,-1,NA
pop,pop-out Musik,2,2,-1,NA,NA,NA,-1,572
con,Concord Music Publishing ANZ,2,2,-1,NA,NA,NA,-1,12500
frt,FRTYFVE,2,2,-1,NA,NA,NA,-1,3872
reco,1603988 Records DK,2,2,-1,NA,NA,NA,-1,NA
domi,Dominance Records,2,2,-1,NA,NA,NA,-1,NA
sono,sonokraft,2,2,-1,NA,NA,NA,-1,318
thir,Thirty 8 Records,2,2,-1,NA,NA,NA,-1,153
doit,Do It Records,2,2,-1,NA,NA,NA,-1,NA
brow,Brownmamaslimmusic,2,2,-1,NA,NA,NA,-1,NA
gold,Golden Chocolate Records,2,2,-1,NA,NA,NA,-1,389
